web-scraper-order,web-scraper-start-url,review,rating,pesanan,tanggal_pesan,Label,Label,,
1701446020-1,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"maaf , rasanya hambar mas",3.0,Mie Suit - Udang Rambutan - Siomay - Air Mineral,Ordered on 28 November 2023,0,Buruk,Review,Frekuensi
1701446020-2,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pelayanan selalu lemot,1.0,Mie Hompimpa lv 1 - Udang Keju - Siomay,Ordered on 27 November 2023,0,Buruk,Review Buruk,1183
1701446020-3,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"oke sebenarnya, cuman di mie gacoan lv 2 punya saya kenapa dikasih pangsit cuman 1? mohon diteliti lagi ya",4.0,Mie Gacoan lv 0 - Mie Gacoan lv 2 - Siomay - Udang Rambutan - Udang Keju - Lumpia Udang,Ordered on 27 November 2023,0,Buruk,Review Baik,1149
1701446020-4,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Gak ada sumpit, lumpia udangnya kececer dalam plastik padahal boxnya ketutup.. ada keripik-keripik kecil di lumpia udangnya yang harusnya gak ada.. gak ada sumpit..",2.0,Es Teklek - Lumpia Udang - Siomay,Ordered on 26 November 2023,0,Buruk,Ambigu,86
1701446020-5,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,wouwowuwowowowowow,5.0,Gacoan Fest B - Udang Rambutan,Ordered on 7 November 2023,1,Baik,Total,2418
1701446020-6,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mie gacoan tidak ada lawan,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 3 - Udang Keju,Ordered on 22 November 2023,1,Baik,,
1701446020-7,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,yg lvl 8 gaada gurih nya cmn pedes gtu,4.0,Mie Hompimpa lv 8 - Mie Gacoan lv 6,Ordered on 21 November 2023,0,Buruk,,
1701446020-8,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,sy pesen mie lvl 2 malah dikasih lvl 0,2.0,Mie Gacoan lv 2 - Udang Rambutan - Udang Keju - Thai Green Tea,Ordered on 18 November 2023,0,Buruk,,
1701446020-9,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesenanku salah woiii.knp jd pangsit semua.pdhl pesen siomay sama udang rambutan,2.0,Mie Gacoan lv 3 - Siomay - Udang Rambutan - Pangsit - Lumpia Udang - Teh,Ordered on 14 November 2023,0,Buruk,,
1701446020-10,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesan mie gacoan lv1 2 malah dapat lv0🤦..rasanya juga aneh GK kyk biasanya ..,1.0,Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 19 November 2023,0,Buruk,,
1701446020-11,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya enak makanan/minumannya dan cocok buat melatih kesabaran krna antrinya lama,5.0,Gacoan Fest A,Ordered on 18 November 2023,0,Buruk,,
1701446020-12,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,everything is good,5.0,Mie Gacoan lv 3 - Lumpia Udang - Udang Keju,Ordered on 17 November 2023,1,Baik,,
1701446020-13,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"makanan nya enak bangettt, tapi saya kurang mengerti tentang cara makan dengan menggunakan sumpit, hehe",5.0,Mie Gacoan lv 1,Ordered on 17 November 2023,1,Baik,,
1701446020-14,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,ayangku suka bgt ❤️,5.0,Mie Gacoan lv 1 - Udang Keju - Milo - Air Mineral,Ordered on 17 November 2023,1,Baik,,
1701446020-15,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasanya sama porsi okelah.....yg bikin orang kasih bintang 1 itu karena lamanya proses penyajian,1.0,Mie Hompimpa lv 1 - Udang Keju - Lumpia Udang,Ordered on 16 November 2023,0,Buruk,,
1701446020-16,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,semangat para pekerja malam-pagi,1.0,Mie Gacoan lv 0 - Thai Green Tea,Ordered on 16 November 2023,5,Buruk,,
1701446020-17,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,level 3 ditandainya level 1. kasian anakq jadi kepedesan. setelah aq cek ternyata cabenya banyak bangeeet.. dan yang level 3 punya kakaknya gk berasa pedasss,2.0,Mie Gacoan lv 4 - Mie Gacoan lv 1,Ordered on 8 October 2023,0,Buruk,,
1701446020-18,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Terbaik lah pedesnya 🙏🏻,5.0,Pangsit - Mie Gacoan lv 8,Ordered on 8 November 2023,1,Baik,,
1701446020-19,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,lama bangettttt bikin badmood!!!,2.0,Mie Gacoan lv 2 - Mie Gacoan lv 3 - Thai Tea Ori - Es Coklat - Udang Rambutan,Ordered on 12 November 2023,0,Buruk,,
1701446020-20,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"sip MANTAP bisa dimakan bareng bareng anak, ok",5.0,Mie Suit - Mie Hompimpa lv 1 - Udang Rambutan,Ordered on 12 November 2023,1,Baik,,
1701446020-21,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,tapi gaada sumpitnya :),5.0,Udang Keju - Mie Gacoan lv 2 - Lemon Tea,Ordered on 12 November 2023,0,Buruk,,
1701446020-22,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Terima kasih pertahanankan trs rasa dan kualitas makanan yg pas dan lezat 👍🏻,5.0,Mie Gacoan lv 0 - Udang Rambutan - Udang Keju,Ordered on 11 November 2023,1,Baik,,
1701446020-23,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"baru pertama makan mie gacoan Surabaya mantep banget pas banget rasanya endullll , pas tinggal di Bali pesen level 6 gak brasa pedes ,x ini nyoba gacoan mumpung pas di SBY beehhhhhh mantep rasanya dapet pedessnya dapet ... beda jauh banget sama di Bali , dimsum nya juga enak ,kalo di Bali kadang rada yg masih mentah atau masih kurang Mateng dan sering terjadi .. kalo yg dsini sumpahhhhh lidah gak bisa boong.. sukses terussss bos",5.0,Mie Hompimpa lv 6 - Siomay - Mie Gacoan lv 3 - Lumpia Udang,Ordered on 9 November 2023,1,Baik,,
1701446020-24,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"banyak minyak, bumbu mie gacoannya tidak tercampur rata jd ada bagian mie yg hambar krn tdk tercampur bumbu, bumbu tumpah2, bukannya mie gacoan tu mie goreng mestinya tidak ada kuah, ini bumbunya seperti kuah yg tumpah",3.0,Mie Gacoan lv 0 - Mie Suit,Ordered on 9 November 2023,0,Buruk,,
1701446020-25,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"rasanya beda skli dengan gacoan² cabang lain, sudah lama mkan dan di coba dan bandingkan dengan gacoan lain cm di sini saja rasanya beda dan pedasnya juga beda misal lv2 pedasnya kyk lv 3 gak tau kenapa yang di Ambengan ini rasanya tidak konsisten berbeda dari gacoan cabang Surabaya lainnya rasanya bisa tetap pas dan sama🙏",3.0,Mie Gacoan lv 2,Ordered on 8 November 2023,0,Buruk,,
1701446020-26,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"thanks uda langganan yg cabang genteng, suka banget anak saya.",5.0,Mie Gacoan lv 1 - Udang Rambutan - Udang Keju,Ordered on 8 November 2023,1,Baik,,
1701446020-27,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"ini sejak kapan ya gacoan pakai stereofoam putih, bukanya pakai kemasan khusus gacoan ya ?",1.0,Mie Gacoan lv 8 - Pangsit - Mie Gacoan lv 2,Ordered on 8 November 2023,0,Buruk,,
1701446020-28,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesanan saya salah,1.0,Udang Keju - Mie Gacoan lv 1,Ordered on 7 November 2023,0,Buruk,,
1701446020-29,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"NYESELLL 2X ORDER DSINI BELI YG LEVEL 2 GAADA CABE NYA!!! PADAHAL SUDAH DIINGETIN DI CATATAN ""JANGAN LUPA CABE"" TETEP AJA PUTIHAN GAADA CABE NYA SAMA SKALI!!!",1.0,Pangsit - Mie Hompimpa lv 2 - Udang Rambutan,Ordered on 2 November 2023,0,Buruk,,
1701446020-30,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Salah satu di pesanan saya pas dibuka ada yg tidak lengkap (udang keju) ada 1 bungkus isinya hanya 2, yg lain nya lengkap isi 3",2.0,Mie Hompimpa lv 1 - Mie Gacoan lv 1 - Udang Keju,Ordered on 5 November 2023,0,Buruk,,
1701446020-31,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"lama banget pengemasannya, masak nunggu masakan selesai smp 1 jam setengah, es smp g dingin udah tiba di tempat😞",4.0,Udang Keju - Mie Gacoan lv 0 - Mie Gacoan lv 2 - Mie Gacoan lv 3 - Es Gobak Sodor - Thai Green Tea - Es Teklek,Ordered on 5 November 2023,0,Buruk,,
1701446020-32,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,joooooshhjhh....... 😁😁😁👍👍👍👍😂,5.0,Mie Gacoan lv 2 - Mie Gacoan lv 1 - Udang Rambutan - Siomay - Es Gobak Sodor,Ordered on 5 November 2023,1,Baik,,
1701446020-33,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Mie tidak ada rasa, Es Orange es batunya sudah mencair sedikit hambar.",2.0,Mie Hompimpa lv 1 - Lumpia Udang - Udang Keju - Orange,Ordered on 5 November 2023,0,Buruk,,
1701446020-34,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"kecap kurang, goreng nya kurang matang tengah nya, lama banget masak nya",3.0,Mie Gacoan lv 0 - Mie Gacoan lv 1 - Mie Gacoan lv 2 - Es Teklek,Ordered on 4 November 2023,0,Buruk,,
1701446020-35,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,gacoan memang worth it,5.0,Udang Keju - Siomay - Mie Gacoan lv 1,Ordered on 2 November 2023,1,Baik,,
1701446020-36,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Lama banget nunggu nya sejam. Telat dalam penyajian,3.0,Mie Gacoan lv 2 - Mie Gacoan lv 1 - Udang Keju - Mie Gacoan lv 4 - Udang Rambutan,Ordered on 31 October 2023,0,Buruk,,
1701446020-37,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,kembali ke pengaturan yang dulu dong bawang nya jangan kurangin,5.0,Mie Gacoan lv 1 - Siomay - Mie Gacoan lv 0 - Mie Gacoan lv 6,Ordered on 21 September 2023,0,Buruk,,
1701446020-38,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,tolong dong bawang nya seperti dulu lagi sekarang sedikit bawang nya,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 0 - Siomay - Mie Gacoan lv 6,Ordered on 17 October 2023,0,Buruk,,
1701446020-39,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,layanan yang cepat,5.0,Udang Rambutan - Mie Gacoan lv 4,Ordered on 29 October 2023,1,Baik,,
1701446020-40,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"telat datengnya soalnya rame, jadi kelaperan",5.0,Mie Hompimpa lv 3 - Udang Keju - Mie Gacoan lv 0,Ordered on 28 October 2023,0,Buruk,,
1701446020-41,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Lebih hati” dalam mengemas makanan,3.0,Mie Gacoan lv 3 - Udang Rambutan - Milo,Ordered on 24 October 2023,0,Buruk,,
1701446020-42,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak seperti biasa..,5.0,Udang Keju - Mie Gacoan lv 1,Ordered on 27 October 2023,1,Baik,,
1701446020-43,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak seperti biasa..,5.0,Mie Gacoan lv 3 - Mie Gacoan lv 1 - Mie Hompimpa lv 1 - Mie Suit - Udang Rambutan,Ordered on 27 October 2023,1,Baik,,
1701446020-44,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,as always enak tapi lama sih,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 3 - Pangsit - Mie Gacoan lv 1 - Thai Tea Ori - Udang Keju,Ordered on 26 October 2023,0,Buruk,,
1701446020-45,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,terimakasih bapak,5.0,Mie Hompimpa lv 3,Ordered on 26 October 2023,5,Buruk,,
1701446020-46,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Kemasan sobek masih di pakai buat isi minuman, alhasil minumanya tumpah semua. Kesalah dri driver atau pihak resto.",2.0,Mie Gacoan lv 2 - Pangsit - Es Gobak Sodor - Siomay,Ordered on 24 October 2023,0,Buruk,,
1701446020-47,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enaak,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 0,Ordered on 22 October 2023,1,Baik,,
1701446020-48,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Untuk rasa sudah oke, sudah langganan lama, tapi kemasannya kenapa gak ada perbaikan, Sterofom itu berbahaya, gacoan itu sudah punya nama, harusnya punya standart yang jelas.",1.0,Mie Hompimpa lv 2 - Mie Suit - Siomay,Ordered on 22 October 2023,0,Buruk,,
1701446020-49,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,udang keju nya gak ada,1.0,Mie Suit - Udang Keju,Ordered on 21 October 2023,0,Buruk,,
1701446020-50,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,klo menurut sya poersinya terlalu kering mie nya .,4.0,Mie Hompimpa lv 1 - Es Teklek,Ordered on 18 October 2023,0,Buruk,,
1701446020-51,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"minyak nya agak berlebih yaaa ,, mungkin bisa d perbaiki",4.0,Lumpia Udang - Mie Gacoan lv 4,Ordered on 18 October 2023,0,Buruk,,
1701446020-52,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,thank you lumayan,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Udang Keju - Teh - Udang Rambutan - Es Petak Umpet,Ordered on 17 October 2023,1,Baik,,
1701446020-53,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mienya gaada rasanya,3.0,Mie Gacoan lv 4 - Udang Rambutan - Udang Keju,Ordered on 17 October 2023,0,Buruk,,
1701446020-54,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak seperti biasa...,5.0,Mie Gacoan lv 0 - Mie Gacoan lv 1 - Udang Keju - Udang Rambutan,Ordered on 16 October 2023,1,Baik,,
1701446020-55,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"overall ik , pesen 3 mie gacoan lv 0 tp kok yg satu pedes banget gak tau diksh lv brp td ...",5.0,Mie Gacoan lv 0,Ordered on 15 October 2023,0,Buruk,,
1701446020-56,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,1. siomaynya rasanya kayak kurang matang 2. udang kejunya asin banget :( 3. Beda sama di Cabang Manukan,3.0,Mie Hompimpa lv 1 - Mie Gacoan lv 4 - Siomay - Udang Keju,Ordered on 15 October 2023,0,Buruk,,
1701446020-57,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"Langganan, karena juga deket dari rumah",5.0,Mie Gacoan lv 1 - Mie Gacoan lv 0 - Es Gobak Sodor - Es Teklek - Orange,Ordered on 12 October 2023,1,Baik,,
1701446020-58,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,cuman kurang pedes aja biasanya level 2 Kalok goofood pedes nya kerasa ini gk,5.0,Mie Gacoan lv 2,Ordered on 12 October 2023,0,Buruk,,
1701446020-59,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mie hompimpa nya gak ada rasanya anyep.. rasanya kurang,5.0,Mie Hompimpa lv 1 - Mie Hompimpa lv 2 - Siomay - Udang Keju,Ordered on 11 October 2023,0,Buruk,,
1701446020-60,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,kak sumpit nya lupa ya sampai bingung makan pake apa posisi lgi di sekolah ga bawa alat makan semua🙃,4.0,Mie Gacoan lv 4 - Mie Gacoan lv 1 - Udang Rambutan - Udang Keju - Pangsit - Mie Gacoan lv 3 - Mie Gacoan lv 2,Ordered on 11 October 2023,0,Buruk,,
1701446020-61,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"mantap, pedes dan rasanya pas dilidah,  kemasannya rapi dan bersih. 👌",5.0,Gacoan Fest C - Mie Gacoan lv 1,Ordered on 9 October 2023,1,Baik,,
1701446020-62,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak dan slalu langganan,5.0,Mie Gacoan lv 8 - Udang Rambutan,Ordered on 8 October 2023,1,Baik,,
1701446020-63,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,mantapppp masnya gojeknya juga bagus,5.0,Mie Gacoan lv 2 - Udang Keju - Teh,Ordered on 9 October 2023,1,Baik,,
1701446020-64,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"katanya antri, tp makanannya radak dingin. 1 jam menunggu",3.0,Gacoan Fest A,Ordered on 8 October 2023,0,Buruk,,
1701446020-65,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesanan dan yang datang sangat tidak sesuai. perbaiki lagi pelayanannya!!!!!!!,1.0,Mie Hompimpa lv 4 - Mie Gacoan lv 0 - Udang Keju - Lumpia Udang - Teh,Ordered on 8 October 2023,0,Buruk,,
1701446020-66,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"entah salah pesanan atau ga. pesenya yg manis, tapi pas dateng, mienya ga ada kayak kecapnya sama sekali. pas dimakan pun, ga ada manis2nya sama sekali. tapi kali ini udang kejunya bagusan, ga terlalu gosong. tolong perhatiin lagi ya.",3.0,Mie Gacoan lv 2 - Udang Keju,Ordered on 7 October 2023,0,Buruk,,
1701446020-67,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,"overall enak, tapi aku pesen siomay malah yang datang lumpia. sebenarnya gapapa, tapi kalo bisa mohon di cek lagi. trims",3.0,Mie Gacoan lv 2 - Udang Rambutan - Udang Keju - Siomay,Ordered on 7 October 2023,0,Buruk,,
1701446020-68,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,rasa sangat standar namun pelayanan sesuai request dan cabe nya fresh.,5.0,Thai Green Tea - Mie Hompimpa lv 8 - Mie Hompimpa lv 2 - Udang Keju,Ordered on 6 October 2023,1,Baik,,
1701446020-69,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Terlalu pedas 🥵,3.0,Gacoan Fest A,Ordered on 6 October 2023,0,Buruk,,
1701446020-70,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,sippp ok...rasa enak,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Mie Gacoan lv 3,Ordered on 22 September 2023,1,Baik,,
1701446020-71,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,pesan gacoan tp kok gk ada kecapnya ya..,3.0,Mie Gacoan lv 3 - Mie Gacoan lv 2 - Lumpia Udang - Udang Rambutan,Ordered on 4 October 2023,0,Buruk,,
1701446020-72,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,makananya  enak kok dan baik,4.0,Mie Gacoan lv 0 - Udang Rambutan,Ordered on 3 October 2023,1,Baik,,
1701446020-73,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,sesuai catatan pesanan,5.0,Mie Suit - Mie Hompimpa lv 2 - Teh Tarik,Ordered on 30 September 2023,0,Buruk,,
1701446020-74,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,Kebaikan orangnya ramah santun juga,5.0,Mie Gacoan lv 3,Ordered on 1 October 2023,5,Buruk,,
1701446020-75,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,seperti biasanya,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2 - Udang Rambutan,Ordered on 29 September 2023,1,Baik,,
1701446020-76,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,saya sudah catat mau request cabe .... tapi kenapa kok masih tidak di perhatikan ... dan untuk harga mahal,3.0,Mie Gacoan lv 1 - Udang Keju,Ordered on 28 September 2023,0,Buruk,,
1701446020-77,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak bgt cuyyyy 😋,5.0,Mie Gacoan lv 1 - Mie Gacoan lv 2,Ordered on 28 September 2023,1,Baik,,
1701446020-78,https://gofood.co.id/en/surabaya/restaurant/mie-gacoan-genteng-f49fb30b-5b97-41b6-b66c-924da5d72fba/reviews,enak banget makanannya.. ga ada obat,5.0,Mie Hompimpa lv 2 - Siomay - Es Gobak Sodor,Ordered on 28 September 2023,1,Baik,,
